INFO: text_id: D1801   uid: fac2957841ac4de1a54522e8f554210c
INFO: text_id: D1803   uid: 4c436336a01d49caa37ded6efcb62f9b
INFO: text_id: D1804   uid: cc9a65b75fb14e9fa48fbd78634f2d7b
INFO: text_id: D1805   uid: e0fe9f8aacba4bbd9d746411e197227b
INFO: text_id: D1806   uid: 365ac75d5432423fbe28706561715b50
INFO: text_id: D1807   uid: ef3d2cd0d9994e29a2e22dd0008b194a
INFO: text_id: D1808   uid: f448429af7704dd2be822a19d68bd151
INFO: text_id: D1809   uid: 4941a43751fe4ed88d9aa79bf016d742
INFO: text_id: D1811   uid: f47400512f5c4aeeb9acc9a423cb0f79
INFO: text_id: D1812   uid: 829bc5c6712a4df1a93c6c5d8204e016
INFO: text_id: D1814   uid: 1e982941683f4bad90df995713b781e4
INFO: text_id: D1817   uid: 4fd997d0bf6a4d4592c4b22227b03e23
INFO: text_id: D1838   uid: ae90bf5936fe4ce4bb32db5235819880
INFO: text_id: D1865   uid: 39e59c953c7e4f679c835c1b8edc38e3
INFO: text_id: D1892   uid: d250286093a24a5ca55d29be27b26a6a
INFO: text_id: D1893   uid: 37d0be4e5c6b45bbb88e4b13a2cc9aef
INFO: text_id: D1894   uid: abbcb46fd74b486c9629d416f78764c8
INFO: text_id: D1928   uid: a22b917c90a24b27b58e42a424de2d8e
INFO: text_id: D1937   uid: 3920cb7039ac43bfb47daef5a470569d
INFO: text_id: D1938   uid: 526c98112fb04f2e9ef21003c0cfc988
INFO: text_id: D1939   uid: 87c6e8dfcf184298bf17ece98aee23a0
INFO: text_id: D1940   uid: 8e5f344b5d33476db5e11b691ad7c238
INFO: text_id: D1941   uid: 30efaf15ca2b49bb9935d32324b26a90
INFO: text_id: D1943   uid: 840a1b15826744c084cc36b7aa299102
INFO: text_id: D1944   uid: e51725bf895f4df38ad204bf98adf7fe
INFO: text_id: D1948   uid: 5af8f25a69d945f5a8036de31a1104e1
INFO: text_id: D1949   uid: 2c5b8c23e0e74604afeeb537ef690fd6
INFO: text_id: D1950   uid: d6a9c064d02b4bd198b82c1f707c450d
INFO: text_id: D1951   uid: 9d194bd869764bcdb5e85c5d629c4971
INFO: text_id: D2190   uid: ee95ca9e973c48aaa289ded40f99b883
INFO: text_id: D2191   uid: 933d8a4177fa4ada8355eb0c6be2f3a5
INFO: text_id: D2204   uid: 412573a59cd24921a8f3f5293a5d6f78
INFO: text_id: D2205   uid: b494c13c1c5348c888e0dfd9a22593b0
INFO: text_id: D2206   uid: 145270ef44f64621883cf0cb9c15bb43
INFO: text_id: D2207   uid: a781ac826da04d7c93005e452e717914
INFO: text_id: D2213   uid: 48ec090c9c3349bda43db107849fd9a3
INFO: text_id: D2225   uid: 37fb311fcf6d4661bbf81df08f4d4964
